source,category,action,destination,note
/college/notre-dame/notre-dame-game-in-dublin-seriously-at-risk-of-cancellation,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-has-some-unfinished-business,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-makes-short-list-of-4-star-guard,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-ol-alex-bars-is-out-for-the-season-with-a-knee-injury,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-over-virginia-tech-2019,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-qb-enters-transfers-portal,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-quarterback-drawing-comparison-to-this-nfl-quarterback,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-rival-starts-new-coaching-era,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-star-out-for-the-year,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-te-upgraded-to-five-stars,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/notre-dame-wr-transfer-finds-new-home,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/offensive-coordinator-carousel-t-rees-interviews-elsewhere,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/overwhelming-support-for-new-oc-tom-rees,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/pff-coms-top-101-players-of-2019-feature-four-ex-irish-players,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/poll-result-most-likely-to-happen-for-nd-in-2020,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/possible-replacement-at-offensive-coordinator-for-the-irish,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/record-day-for-ian-book,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/remember-why-you-root-for-notre-dame,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/rivals-com-snubs-ian-book-from-top-qb-list-for-2020,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/rudy-ii-notre-dame-icon-turned-colonel,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/should-notre-dame-pay-athletes,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/star-in-the-making-for-notre-dame,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/the-chicago-areas-top-prospects-in-the-2019-nfl-draft,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/the-five-most-important-players-for-the-fighting-irish-in-2018,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/the-irishweargreen-tradition-is-back,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/the-kelly-era,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/the-most-important-player-for-the-rest-of-chicagos-college-basketball-teams,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/thomas-hammocks-postgame-interview-made-nius-huge-upset-over-notre-dame-so-much-better,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/three-reasons-why-i-hate-michigan,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/top-10-notre-dame-games-2010-2019,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/top-notre-dame-quarterbacks-of-all-time,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/top-three-targets-the-irish-need-to-land-for-2021,misc,review,,manual review — does not match WP-style pattern
/college/notre-dame/trouble-brewing-for-notre-dame,misc,review,,manual review — does not match WP-style pattern
